source,target,weight
UBR4 , P03129,1
E2F1 , P03129,1
MYC , P03129,1
IRF1 , P03129,1
PPP2R1A , P03129,1
PPP2CA , P03129,1
TBP , P03129,1
JUN , P03129,1
PKM , P03129,1
HDAC2 , P03129,1
BRCA1 , P03129,1
EP300 , P04020,1
RB1 , P04020,1
UBR4 , P04020,1
E2F1 , P04020,1
MYC , P04020,1
IRF1 , P04020,1
PPP2R1A , P04020,1
PPP2CA , P04020,1
PKM , P04020,1
CSNK2A1 , P06464,1
RB1 , P06464,1
KAT2B , P06464,1
DNAJA3 , P06464,1
CDKN1A , P06464,1
UBR4 , P06464,1
E2F1 , P06464,1
CCNE1 , P06788,1
TGM2 , P06788,1
CCNA2 , P06788,1
CDK2 , P06788,1
CSNK2A1 , P06788,1
RBL1 , P06788,1
RB1 , P06788,1
KAT2B , P06788,1
E2F1 , P06788,1
MYC , P06788,1
RBL2 , A0MPS7,1
RBL1 , A0MPS7,1
RB1 , A0MPS7,1
RB1 , P03256,1
RB1 , P12533,1
HDAC1 , P17387,1
RB1 , P17387,1
HDAC2 , P17387,1
YY1 , Q8JSK4,1
POU5F1 , Q8JSK4,1
RB1 , Q8JSK4,1
TBP , Q8JSK4,1
TBP , Q6JGG5,1
RAN , P03254,1
TBP , P03254,1
ATF1 , P03259-2,1
PRKAR1A , P03259-2,1
PRKAR2A , P03259-2,1
PRKAR2B , P03259-2,1
CREB1 , P03259-2,1
CREBBP , P03259-2,1
TOP1 , P03081,1
PPP2R1A , P03081,1
PPP2CA , P03081,1
PPP2R1B , P03081,1
PPP2CA , P03076,1
PPP2CA , P68834,1
PPP2CA , P00524,1
HSP90AA1 , P26664,1
STAT1 , P26664,1
BAD , P17361,1
BAX , P17361,1
BID , P17361,1
BCL2L11 , P17361,1
BAD , P68451,1
BAX , P68451,1
BID , P68451,1
BCL2L11 , P68451,1
PMAIP1 , P68451,1
BBC3 , P68451,1
BAK1 , P68451,1
BAK1 , P24356,1
PTPN3 , Q77E16,1
UBE3A , Q77E16,1
UBE3A , P06933,1
MAGI1 , P06931,1
DLG1 , P06931,1
UBE3A , P06931,1
FBLN1 , P06931,1
RCN2 , P06931,1
PXN , P06931,1
TP53 , P17386,1
MAGI1 , P17386,1
DLG1 , P17386,1
UBE3A , P17386,1
FBLN1 , P17386,1
RCN2 , P17386,1
DLG1 , P36799,1
UBE3A , P36799,1
DLG1 , O57125,1
DLG1 , Q4ZGA4,1
DLG1 , Q9QNP8,1
DLG1 , Q9WH13,1
DLG1 , Q9ICL1,1
DLG1 , P89079,1
MAGI1 , P03127,1
DLG1 , P03127,1
GPS2 , P06428,1
XRCC1 , P06428,1
MAGI1 , P06428,1
DLG1 , P06428,1
GPS2 , P06929,1
XRCC1 , P06929,1
CREBBP , P03126,1
EP300 , P03126,1
MYC , P03126,1
SERTAD1 , P03126,1
TP53 , P03126,1
BAK1 , P03126,1
MCM7 , P03126,1
GPS2 , P03126,1
XRCC1 , P03126,1
SCRIB , P03126,1
TAX1BP3 , P03126,1
IRF3 , P03126,1
TSC2 , P03126,1
TNFRSF1A , P03126,1
SIPA1L1 , P03126,1
FADD , P03126,1
TP73 , P03126,1
MAGI1 , P03126,1
DLG1 , P03126,1
UBE3A , P03126,1
FBLN1 , P03126,1
RCN2 , P03126,1
TNPO1 , P03126,1
KPNB1 , P03126,1
KPNA2 , P03126,1
BRCA1 , P03126,1
EP300 , P06463,1
TBP , P06463,1
PTPN3 , P06463,1
GIPC1 , P06463,1
GOPC , P06463,1
TYK2 , P06463,1
TP53 , P06463,1
BAK1 , P06463,1
MCM7 , P06463,1
GPS2 , P06463,1
SCRIB , P06463,1
TAX1BP3 , P06463,1
MAGI1 , P06463,1
DLG1 , P06463,1
UBE3A , P06463,1
FBLN1 , P06463,1
EP300 , P04019,1
SERTAD1 , P04019,1
TYK2 , P04019,1
TP53 , P04019,1
BAK1 , P04019,1
MCM7 , P04019,1
GPS2 , P04019,1
TP73 , P04019,1
MAGI1 , P04019,1
DLG1 , P04019,1
UBE3A , P04019,1
CREBBP , P06462,1
EP300 , P06462,1
SERTAD1 , P06462,1
ZYX , P06462,1
MCM7 , P06462,1
GPS2 , P06462,1
MAGI1 , P06462,1
DLG1 , P06462,1
MCM7 , P26555,1
DAXX , P03244,1
TP53 , P03244,1
DAXX , P04491,1
DAXX , P03243,1
CTBP1 , Q69140,1
E4F1 , Q64770,1
HDAC1 , Q64770,1
E4F1 , Q8V1H6,1
MKRN1 , Q8V1H6,1
DDB1 , Q8V1H6,1
L3MBTL3 , Q8V1H6,1
DDB1 , P11207,1
STAT2 , P11207,1
LMNA , P10215,1
LMNA , P10218,1
NAP1L1 , P04296,1
PARP1 , P04296,1
LMNA , P04296,1
ADNP , P04296,1
SF3B3 , P04296,1
DDX42 , P04296,1
IMPDH2 , P04296,1
XRCC6 , P04296,1
XRCC4 , P04296,1
PCNA , P04296,1
DEK , P04296,1
POLR1A , P04296,1
WRN , P04296,1
PRKDC , P04296,1
PRPF19 , P04296,1
MSH3 , P04296,1
MCM2 , P04296,1
RBBP4 , P04296,1
EMD , P04296,1
CHD3 , P04296,1
MRE11A , P04296,1
SMARCA1 , P04296,1
SMARCD1 , P04296,1
SMARCE1 , P04296,1
SMC1A , P04296,1
SMARCA5 , P04296,1
MSH6 , P04296,1
RCOR1 , P04296,1
BLM , P04296,1
BTAF1 , P04296,1
MSH2 , P04296,1
GTF2I , P04296,1
SMARCA4 , P04296,1
SUPT16H , P04296,1
SMARCC2 , P04296,1
SMARCC1 , P04296,1
